image,det_idx,x1,y1,x2,y2,orig_count,primary_cls,primary_conf,pose_overlap,clip_pred,clip_conf,final_conf,action,notes
000000000882_jpg.rf.e9f4f3d077eb14cd98dad67d0f3d0ac0.jpg,1,293,421,416,573,2,1,0.7984987497329712,0.0,0,0.74609375,0.6283,low_conf,
000000000882_jpg.rf.e9f4f3d077eb14cd98dad67d0f3d0ac0.jpg,2,293,249,405,419,2,1,0.769733190536499,0.0,0,0.7607421875,0.6140,low_conf,
000000014252_jpg.rf.2d5cf6d4fc9f5028576a73ca94bb7457.jpg,1,481,106,540,160,2,1,0.7189581394195557,0.0,0,0.640625,0.5595,low_conf,
000000014252_jpg.rf.2d5cf6d4fc9f5028576a73ca94bb7457.jpg,2,433,79,514,141,2,1,0.3195382356643677,0.0,0,0.8671875,0.3652,low_conf,
000000021786_jpg.rf.4bda29e2e7c474710544a8a35ee0615e.jpg,1,289,218,335,265,3,1,0.617434024810791,0.0,0,0.91748046875,0.5540,low_conf,
000000021786_jpg.rf.4bda29e2e7c474710544a8a35ee0615e.jpg,2,189,241,246,310,3,0,0.2972160875797272,0.0,0,0.8916015625,0.3566,low_conf,
000000021786_jpg.rf.4bda29e2e7c474710544a8a35ee0615e.jpg,3,189,241,246,310,3,1,0.2563674747943878,0.0,0,0.8916015625,0.3321,low_conf,
000000024305_jpg.rf.0bedbb328ec27bf7a08cfd348ffaf5ed.jpg,1,248,456,375,552,2,1,0.8307174444198608,0.0,1,0.70263671875,0.6390,low_conf,
000000024305_jpg.rf.0bedbb328ec27bf7a08cfd348ffaf5ed.jpg,2,398,396,474,452,2,1,0.8118137717247009,0.0,0,0.8857421875,0.6642,low_conf,
000000028480_jpg.rf.6930956ec67dc308ad298d05488eabcf.jpg,1,78,167,112,211,1,1,0.45002374053001404,0.0,0,0.9033203125,0.4507,low_conf,
000000032364_jpg.rf.1c15ec2d7040b282a8614682abe9f5c9.jpg,1,213,236,262,290,1,1,0.7621012330055237,0.0,0,0.92822265625,0.6429,low_conf,
000000043809_jpg.rf.7108deae661e5b9226f3628a96a4b782.jpg,1,30,445,53,480,2,1,0.30704087018966675,0.0,0,0.689453125,0.3221,low_conf,
00021_png.rf.3a16cee63c2e0a46e6ee90174f2f8e8c.jpg,1,283,282,423,425,2,1,0.7616718411445618,0.0,0,0.60009765625,0.5770,low_conf,
00021_png.rf.3a16cee63c2e0a46e6ee90174f2f8e8c.jpg,2,118,460,218,542,2,1,0.5934469699859619,0.0,0,0.73095703125,0.5023,low_conf,
00032_png.rf.f2cd1487ca5bec770e524ba068475b1f.jpg,1,300,324,413,483,2,1,0.8550949692726135,0.0,0,0.68603515625,0.6503,low_conf,
00032_png.rf.f2cd1487ca5bec770e524ba068475b1f.jpg,2,547,239,639,344,2,1,0.8121854066848755,0.0,0,0.77197265625,0.6417,low_conf,
00032_png.rf.f2cd1487ca5bec770e524ba068475b1f.jpg,3,0,92,192,369,2,0,0.583742082118988,0.0,0,0.84814453125,0.5199,low_conf,
0007_jpg.rf.e8161795d24dc215af6f7208eaa593c3.jpg,1,168,61,190,98,2,1,0.8658267259597778,0.0,0,0.845703125,0.6886,low_conf,
0007_jpg.rf.e8161795d24dc215af6f7208eaa593c3.jpg,2,123,112,142,138,2,1,0.8433616757392883,0.0,0,0.91845703125,0.6897,low_conf,
0007_jpg.rf.fdb5a71aa7db84d5c730f5c5d129acda.jpg,1,169,62,192,100,2,1,0.8591884970664978,0.0,0,0.845703125,0.6847,low_conf,
0007_jpg.rf.fdb5a71aa7db84d5c730f5c5d129acda.jpg,2,123,112,142,139,2,1,0.8394806981086731,0.0,0,0.90576171875,0.6848,low_conf,
00085_png.rf.ccd563c21408e5794decc851d94daf41.jpg,1,273,304,413,472,1,1,0.7973032593727112,0.0,1,0.83984375,0.6464,low_conf,
0008_jpg.rf.b24f3a22ffbb760a18338bec901392f3.jpg,1,168,61,192,99,2,1,0.8682388067245483,0.0,0,0.861328125,0.6932,low_conf,
0008_jpg.rf.b24f3a22ffbb760a18338bec901392f3.jpg,2,123,112,143,139,2,1,0.8537622690200806,0.0,0,0.888671875,0.6900,low_conf,
0008_jpg.rf.dc08401ce5d1a916f8686ecba74c9e28.jpg,1,165,57,188,95,2,1,0.8631486892700195,0.0,0,0.861328125,0.6902,low_conf,
0008_jpg.rf.dc08401ce5d1a916f8686ecba74c9e28.jpg,2,123,111,142,138,2,1,0.8433874845504761,0.0,0,0.880859375,0.6822,low_conf,
00154_png.rf.87ad563f8ede968397faa82bbe4407ef.jpg,1,256,160,448,352,2,1,0.704277515411377,0.0,1,0.51171875,0.5249,low_conf,
00154_png.rf.87ad563f8ede968397faa82bbe4407ef.jpg,2,310,264,392,346,2,1,0.5459787249565125,0.0,0,0.87255859375,0.5021,low_conf,
0015_jpg.rf.7230d77aaa62c2191a0ae28a12dd6e57.jpg,1,61,51,78,86,2,1,0.8899621367454529,0.0,0,0.83349609375,0.7007,low_conf,
0015_jpg.rf.7230d77aaa62c2191a0ae28a12dd6e57.jpg,2,99,111,113,136,2,1,0.8593546748161316,0.0,0,0.82666015625,0.6809,low_conf,
0022_jpg.rf.4619f121fb080d2ea99638c7de3a2718.jpg,1,98,110,113,136,2,1,0.8653917908668518,0.0,0,0.751953125,0.6696,low_conf,
0022_jpg.rf.4619f121fb080d2ea99638c7de3a2718.jpg,2,64,49,80,84,2,1,0.8554083108901978,0.0,0,0.82421875,0.6781,low_conf,
0022_jpg.rf.e5c4f54a9358ef00948dabaceb9a26c5.jpg,1,167,60,192,99,2,1,0.8545275330543518,0.0,0,0.8759765625,0.6879,low_conf,
0022_jpg.rf.e5c4f54a9358ef00948dabaceb9a26c5.jpg,2,123,113,143,140,2,1,0.8413296937942505,0.0,0,0.7373046875,0.6523,low_conf,
0030_jpg.rf.509e5a949cd56d20d7e6d7974f921e62.jpg,1,67,47,84,79,2,1,0.8775127530097961,0.0,0,0.822265625,0.6910,low_conf,
0030_jpg.rf.509e5a949cd56d20d7e6d7974f921e62.jpg,2,98,109,113,135,2,1,0.856007993221283,0.0,0,0.87744140625,0.6891,low_conf,
0030_jpg.rf.d7daeb6268ca2536d3803f5482cb009f.jpg,1,51,58,73,94,2,1,0.8666753768920898,0.0,0,0.845703125,0.6891,low_conf,
0030_jpg.rf.d7daeb6268ca2536d3803f5482cb009f.jpg,2,97,111,116,138,2,1,0.8481470942497253,0.0,0,0.81982421875,0.6729,low_conf,
00336_png.rf.d5cba43350e95bb5c1283f1266459b21.jpg,1,152,215,353,406,1,1,0.8767041563987732,1.0,0,0.6826171875,0.8625,flagged,
00337_png.rf.6b86e470a51176c1b93db3b46080301a.jpg,1,156,178,317,363,1,1,0.7237815856933594,0.0,1,0.5546875,0.5452,low_conf,
00337_png.rf.6b86e470a51176c1b93db3b46080301a.jpg,2,0,0,227,203,1,0,0.3312712013721466,0.0,0,0.85791015625,0.3703,low_conf,
